"ensembl_gene_id_clean","gene_symbol","entrez_id","group"
"ENSG00000078596","ITM2A","9452","down_in_tumor"
"ENSG00000231475","IGHV4-30-2","28398","down_in_tumor"
"ENSG00000168309","FAM107A","11170","down_in_tumor"
"ENSG00000213225","NOC2LP1","643276","down_in_tumor"
"ENSG00000169116","PARM1","25849","down_in_tumor"
"ENSG00000172594","SMPDL3A","10924","down_in_tumor"
"ENSG00000182271","TMIGD1","388364","down_in_tumor"
"ENSG00000198910","L1CAM","3897","down_in_tumor"
"ENSG00000278196","IGLV2-8","28817","down_in_tumor"
"ENSG00000254395","IGHV4-55","28393","down_in_tumor"
"ENSG00000248596","CEP192P1","643201","down_in_tumor"
"ENSG00000211638","IGLV8-61","28774","down_in_tumor"
"ENSG00000211655","IGLV1-36","28826","down_in_tumor"
"ENSG00000167080","B4GALNT2","124872","down_in_tumor"
"ENSG00000168903","BTNL3","10917","down_in_tumor"
"ENSG00000253696","KBTBD11-OT1","104266957","down_in_tumor"
