"ensembl_gene_id","ensembl_gene_id_clean","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000240864.3","ENSG00000240864","IGKV1-16",2023.32825204671,-2.7509453268073,0.690280047076228,-3.98525980644999,6.74063321589383e-05,0.0134917967610452,"down_in_tumor"
"ENSG00000211669.3","ENSG00000211669","IGLV3-10",1159.37214198521,-3.01729383477502,0.760020201406449,-3.97001794056447,7.1867220217411e-05,0.01410153404534,"down_in_tumor"
"ENSG00000131096.12","ENSG00000131096","PYY",780.196913687688,-2.9868717868604,0.753076286074847,-3.96622738239236,7.30192061021868e-05,0.0141813729565604,"down_in_tumor"
"ENSG00000224041.3","ENSG00000224041","IGKV3D-15",925.436312223514,-3.11986833342438,0.788094455103299,-3.9587492504505,7.53432863608103e-05,0.0144785258233918,"down_in_tumor"
"ENSG00000240382.3","ENSG00000240382","IGKV1-17",1550.87148491886,-2.74077590223158,0.697340325609774,-3.93032756256419,8.48302137747441e-05,0.0152318250827802,"down_in_tumor"
"ENSG00000241244.1","ENSG00000241244","IGKV1D-16",395.98367106056,-2.92269084456962,0.745581010508454,-3.9200178161411,8.85424227571514e-05,0.0156039623364524,"down_in_tumor"
"ENSG00000162706.14","ENSG00000162706","CADM3",485.74907008559,-2.90291973105575,0.742513120384722,-3.90958711888033,9.24540083188548e-05,0.0161438269755299,"down_in_tumor"
"ENSG00000142959.7","ENSG00000142959","BEST4",1881.80659230417,-6.52077301555616,1.67152006290137,-3.90110364827906,9.57551389170317e-05,0.0162723889197131,"down_in_tumor"
"ENSG00000163145.14","ENSG00000163145","C1QTNF7",224.57834733127,-3.49835495874246,0.897641657550288,-3.89727340450048,9.728177316996e-05,0.0163855220242819,"down_in_tumor"
"ENSG00000211675.2","ENSG00000211675","IGLC1",4315.26187885291,-2.71644844294971,0.697609861468528,-3.89393641487715,9.86305131217673e-05,0.0164669697916368,"down_in_tumor"
"ENSG00000172318.7","ENSG00000172318","B3GALT1",330.634922842877,-2.96004992865854,0.762464885016778,-3.88221147862227,0.000103510795870506,0.016838640835926,"down_in_tumor"
"ENSG00000211592.8","ENSG00000211592","IGKC",66439.889831214,-2.46724211668029,0.634944418281585,-3.8857607778609,0.000102009922202448,0.016838640835926,"down_in_tumor"
"ENSG00000124205.19","ENSG00000124205","EDN3",1178.98261724717,-2.62348872602841,0.677997649357442,-3.86946581380446,0.000109074073470088,0.0174487805148164,"down_in_tumor"
"ENSG00000167916.5","ENSG00000167916","KRT24",254.918338494218,-3.39883324577585,0.878383340084559,-3.86941906872761,0.000109094986668584,0.0174487805148164,"down_in_tumor"
